Tahun,Bulan,Tanggal,Jam,O3_Concentration_ppb,(%) O3_Concentration_ppb,PGA_Gain,(%) PGA_Gain,Instrument_Gain,(%) Instrument_Gain,Lamp_Current_mA,(%) Lamp_Current_mA,Gas_Pressure_torr,(%) Gas_Pressure_torr,Ambient_Pressure_torr,(%) Ambient_Pressure_torr,Chassis_Temp_C,(%) Chassis_Temp_C,Lamp_Temp_C,(%) Lamp_Temp_C,Status_Code,(%) Status_Code,Operation_State,(%) Operation_State,Units_Code,(%) Units_Code,Filter_Type,(%) Filter_Type
2024,7,16,16,0.0022,33.3333,61.1364,36.6667,1.2555,36.6667,9.8371,36.6667,743.1276,36.6667,758.7792,36.6667,30.7659,36.6667,50.1098,36.6667,2.5455,36.6667,18.5455,36.6667,-9999.0,36.6667,1.0,36.6667
2024,7,16,17,0.011,100.0,64.0,100.0,1.2555,100.0,9.8366,100.0,741.0513,100.0,758.5158,100.0,31.544,100.0,50.0021,100.0,2.0,100.0,3.0667,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,18,0.0116,66.6667,64.0,100.0,1.2555,100.0,9.8376,100.0,740.945,100.0,758.3698,100.0,31.7472,100.0,50.0011,100.0,2.0,100.0,2.8167,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,19,0.0116,100.0,64.0,100.0,1.2555,100.0,9.8369,100.0,741.0922,100.0,758.5152,100.0,31.9527,100.0,49.9992,100.0,2.0,100.0,3.6167,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,20,0.0136,70.0,64.0,100.0,1.2555,100.0,9.836,100.0,741.4685,100.0,758.9288,100.0,31.441,100.0,49.9991,100.0,2.0,100.0,4.35,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,21,0.0137,56.6667,64.0,100.0,1.2555,100.0,9.837,100.0,741.9192,100.0,759.4029,100.0,31.1635,100.0,49.9995,100.0,2.0,100.0,4.1167,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,22,0.0125,100.0,64.0,100.0,1.2555,100.0,9.8383,100.0,742.3768,100.0,759.8802,100.0,31.0772,100.0,49.998,100.0,2.0,100.0,3.55,100.0,-9999.0,100.0,1.0,100.0
2024,7,16,23,0.0123,100.0,64.0,100.0,1.2555,100.0,9.8399,100.0,743.0408,100.0,760.5528,100.0,31.029,100.0,49.9999,100.0,2.0,100.0,3.0333,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,0,0.0122,100.0,64.0,100.0,1.2555,100.0,9.84,100.0,743.4352,100.0,760.9298,100.0,31.0407,100.0,50.0016,100.0,2.0,100.0,2.8167,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,1,0.0123,100.0,64.0,100.0,1.2555,100.0,9.8398,100.0,743.4748,100.0,760.9684,100.0,30.9728,100.0,50.0002,100.0,2.0,100.0,3.9667,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,2,0.0119,91.6667,64.0,100.0,1.2555,100.0,9.8385,100.0,743.2604,100.0,760.7367,100.0,30.91,100.0,50.0021,100.0,2.0,100.0,4.3,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,3,0.0113,93.3333,64.0,100.0,1.2555,100.0,9.8384,100.0,742.8541,100.0,760.3204,100.0,30.8803,100.0,50.0006,100.0,2.0,100.0,4.1167,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,4,0.0107,100.0,64.0,100.0,1.2555,100.0,9.8387,100.0,742.4248,100.0,759.9061,100.0,30.8872,100.0,50.0004,100.0,2.0,100.0,3.1833,100.0,-9999.0,100.0,1.0,100.0
2024,7,17,5,0.0104,91.6667,64.0,100.0,1.2555,100.0,9.8398,100.0,741.9373,100.0,759.4082,100.0,30.8842,100.0,50.001,100.0,2.0,100.0,2.9833,100.0,-9999.0,100.0,1.0,100.0
